"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","CTA|EE","Biomass","55.30"
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","CTA|EE","Biomass","55.50"
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","CTA|EE","Biomass","55.00"
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","CTA|EE","Biomass","55.40"
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","CTA|EE","Biomass","56.40"
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","CTA|EE","Biomass","55.90"
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","CTA|EE","Biomass","56.40"
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","CTA|EE","Biomass","55.50"
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","CTA|EE","Biomass","56.20"
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","CTA|EE","Biomass","58.50"
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","CTA|EE","Biomass","59.00"
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","CTA|EE","Biomass","59.60"
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","CTA|EE","Biomass","60.00"
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","CTA|EE","Biomass","60.00"
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","CTA|EE","Biomass","58.30"
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","CTA|EE","Biomass","56.60"
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","CTA|EE","Biomass","57.10"
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","CTA|EE","Biomass","56.90"
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","CTA|EE","Biomass","57.30"
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","CTA|EE","Biomass","55.40"
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","CTA|EE","Biomass","55.80"
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","CTA|EE","Biomass","52.90"
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","CTA|EE","Biomass","54.30"
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","CTA|EE","Biomass","54.00"
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","CTA|EE","Biomass","53.50"
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","CTA|EE","Biomass","54.30"
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","CTA|EE","Biomass","54.40"
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","CTA|EE","Biomass","55.80"
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","CTA|EE","Biomass","55.80"
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","CTA|EE","Biomass","55.40"
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","CTA|EE","Biomass","55.60"
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","CTA|EE","Biomass","55.50"
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","CTA|EE","Biomass","55.80"
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","CTA|EE","Biomass","59.00"
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","CTA|EE","Biomass","59.90"
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","CTA|EE","Biomass","59.80"
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","CTA|EE","Biomass","60.00"
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","CTA|EE","Biomass","57.90"
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","CTA|EE","Biomass","57.50"
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","CTA|EE","Biomass","57.10"
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","CTA|EE","Biomass","57.50"
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","CTA|EE","Biomass","57.00"
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","CTA|EE","Biomass","57.00"
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","CTA|EE","Biomass","55.60"
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","CTA|EE","Biomass","55.70"
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","CTA|EE","Biomass","52.80"
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","CTA|EE","Biomass","54.30"
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","CTA|EE","Biomass","54.50"
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","CTA|EE","Biomass","54.20"
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","CTA|EE","Biomass","54.40"
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","CTA|EE","Biomass","50.90"
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","CTA|EE","Biomass","50.20"
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","CTA|EE","Biomass","54.10"
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","CTA|EE","Biomass","54.20"
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","CTA|EE","Biomass","54.40"
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","CTA|EE","Biomass","54.50"
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","CTA|EE","Biomass","55.00"
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","CTA|EE","Biomass","57.90"
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","CTA|EE","Biomass","58.50"
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","CTA|EE","Biomass","58.20"
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","CTA|EE","Biomass","59.30"
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","CTA|EE","Biomass","60.00"
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","CTA|EE","Biomass","58.50"
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","CTA|EE","Biomass","58.00"
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","CTA|EE","Biomass","56.40"
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","CTA|EE","Biomass","55.40"
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","CTA|EE","Biomass","54.90"
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","CTA|EE","Biomass","53.10"
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","CTA|EE","Biomass","53.90"
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","CTA|EE","Biomass","50.90"
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","CTA|EE","Biomass","52.20"
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","CTA|EE","Biomass","52.50"
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","CTA|EE","Biomass","54.80"
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","CTA|EE","Biomass","55.80"
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","CTA|EE","Biomass","55.30"
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","CTA|EE","Biomass","55.00"
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","CTA|EE","Biomass","54.90"
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","CTA|EE","Biomass","54.70"
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","CTA|EE","Biomass","55.30"
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","CTA|EE","Biomass","55.50"
