"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","CTA|EE","Biomass","46.10"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","CTA|EE","Biomass","45.10"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","CTA|EE","Biomass","45.10"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","CTA|EE","Biomass","46.40"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","CTA|EE","Biomass","46.90"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","CTA|EE","Biomass","48.20"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","CTA|EE","Biomass","47.90"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","CTA|EE","Biomass","47.80"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","CTA|EE","Biomass","47.20"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","CTA|EE","Biomass","49.10"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","CTA|EE","Biomass","51.60"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","CTA|EE","Biomass","51.60"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","CTA|EE","Biomass","51.50"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","CTA|EE","Biomass","51.50"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","CTA|EE","Biomass","51.30"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","CTA|EE","Biomass","51.50"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","CTA|EE","Biomass","52.20"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","CTA|EE","Biomass","57.20"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","CTA|EE","Biomass","63.00"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","CTA|EE","Biomass","62.90"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","CTA|EE","Biomass","62.40"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","CTA|EE","Biomass","50.70"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","CTA|EE","Biomass","46.70"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","CTA|EE","Biomass","50.70"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","CTA|EE","Biomass","62.30"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","CTA|EE","Biomass","65.70"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","CTA|EE","Biomass","68.00"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","CTA|EE","Biomass","65.90"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","CTA|EE","Biomass","62.70"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","CTA|EE","Biomass","61.90"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","CTA|EE","Biomass","65.80"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","CTA|EE","Biomass","73.90"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","CTA|EE","Biomass","75.20"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","CTA|EE","Biomass","74.80"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","CTA|EE","Biomass","75.00"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","CTA|EE","Biomass","75.20"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","CTA|EE","Biomass","75.30"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","CTA|EE","Biomass","74.60"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","CTA|EE","Biomass","74.60"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","CTA|EE","Biomass","75.30"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","CTA|EE","Biomass","75.10"
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","CTA|EE","Biomass","74.90"
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","CTA|EE","Biomass","74.90"
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","CTA|EE","Biomass","74.20"
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","CTA|EE","Biomass","72.60"
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","CTA|EE","Biomass","70.20"
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","CTA|EE","Biomass","67.30"
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","CTA|EE","Biomass","64.30"
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","CTA|EE","Biomass","59.80"
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","CTA|EE","Biomass","59.90"
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","CTA|EE","Biomass","59.80"
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","CTA|EE","Biomass","63.00"
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","CTA|EE","Biomass","61.30"
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","CTA|EE","Biomass","61.70"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","CTA|EE","Biomass","66.30"
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","CTA|EE","Biomass","73.80"
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","CTA|EE","Biomass","75.80"
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","CTA|EE","Biomass","80.10"
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","CTA|EE","Biomass","79.50"
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","CTA|EE","Biomass","80.20"
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","CTA|EE","Biomass","80.40"
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","CTA|EE","Biomass","78.70"
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","CTA|EE","Biomass","75.70"
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","CTA|EE","Biomass","75.80"
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","CTA|EE","Biomass","75.40"
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","CTA|EE","Biomass","75.80"
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","CTA|EE","Biomass","76.00"
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","CTA|EE","Biomass","76.10"
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","CTA|EE","Biomass","75.40"
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","CTA|EE","Biomass","74.50"
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","CTA|EE","Biomass","73.60"
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","CTA|EE","Biomass","63.00"
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","CTA|EE","Biomass","63.00"
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","CTA|EE","Biomass","61.00"
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","CTA|EE","Biomass","59.50"
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","CTA|EE","Biomass","61.40"
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","CTA|EE","Biomass","61.30"
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","CTA|EE","Biomass","63.60"
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","CTA|EE","Biomass","72.90"
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","CTA|EE","Biomass","71.20"
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","CTA|EE","Biomass","72.50"
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","CTA|EE","Biomass","73.50"
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","CTA|EE","Biomass","73.60"
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","CTA|EE","Biomass","73.40"
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","CTA|EE","Biomass","73.60"
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","CTA|EE","Biomass","73.30"
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","CTA|EE","Biomass","72.20"
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","CTA|EE","Biomass","70.10"
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","CTA|EE","Biomass","67.40"
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","CTA|EE","Biomass","71.50"
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","CTA|EE","Biomass","72.90"
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","CTA|EE","Biomass","72.70"
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","CTA|EE","Biomass","63.40"
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","CTA|EE","Biomass","48.50"
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","CTA|EE","Biomass","43.40"
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","CTA|EE","Biomass","42.10"
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","CTA|EE","Biomass","43.50"
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","CTA|EE","Biomass","48.10"
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","CTA|EE","Biomass","48.30"
