,mean_deficit_risk_%,max_deficit_risk_%,pct_hours_deficit>50%,mean_surplus_MW,min_surplus_MW,mean_shortfall_MW
s1,24.79580829095392,100.0,14.424410540915394,99.27926089315038,-367.6686563968301,26.77312498616882
s2,99.152411773771,100.0,100.0,-483.355111781676,-1044.680353121019,483.8938426353338
s3,96.0730747138514,100.0,97.64216366158114,-414.50840626463594,-975.6273178729007,419.0229017383691
s4,86.49883018815059,100.0,89.73647711511789,-309.8440574305578,-944.9423218521429,339.1638376820889
