timestamp,demand_actual,demand_p5,demand_p50,demand_p95,demand_mean
2026-01-01 00:00:00,1065.8400000000001,781.4433643844811,1027.7343478645041,1264.7538397672727,1025.6959279904656
2026-01-01 01:00:00,1100.2375,785.2726899478004,1036.6584944908159,1281.699309416571,1035.704809765457
2026-01-01 02:00:00,1075.6425,781.0264177458621,1046.5025078264234,1291.823236100705,1042.7179605251047
2026-01-01 03:00:00,1077.965,833.3309430526823,1078.2123174108756,1320.6543758967941,1078.9070317429173
2026-01-01 04:00:00,1079.475,913.3095908900157,1186.3948110856809,1437.1391743210654,1180.0567907407487
2026-01-01 05:00:00,1036.7975000000001,1022.6184759283389,1305.191482558626,1552.0886282741394,1296.0790913788167
2026-01-01 06:00:00,1067.475,1107.2728039557908,1389.0067578774506,1656.7446758234187,1385.4030552970166
2026-01-01 07:00:00,1141.9775,1149.1306440260403,1420.872899142923,1693.009921967128,1418.8175356198037
2026-01-01 08:00:00,1170.7,1159.848130970739,1423.968209783755,1692.5530729341856,1426.6402514202725
2026-01-01 09:00:00,1134.0175,1144.1900652904765,1424.0103266588549,1679.2390606357653,1421.519119906101
2026-01-01 10:00:00,1139.005,1140.8347403969635,1411.8437327965994,1670.9370709964955,1406.116191812101
2026-01-01 11:00:00,1152.215,1140.6508741079206,1414.2989066955734,1667.0640966075991,1412.2565247301377
2026-01-01 12:00:00,1180.755,1126.4979401238315,1393.300312389992,1667.6749374472408,1399.4883524214858
2026-01-01 13:00:00,1215.1975,1144.6106039179558,1396.4125008392245,1662.894262597253,1401.7675035590046
2026-01-01 14:00:00,1212.2675,1158.5098888310815,1408.8571294821477,1669.8328455922583,1413.4384722282261
2026-01-01 15:00:00,1205.955,1176.1116842493261,1431.1203639354546,1696.276447893603,1435.4822319045156
2026-01-01 16:00:00,1235.4175,1160.098029117903,1415.606229054635,1664.4408295710423,1417.482798754566
2026-01-01 17:00:00,1224.845,1128.1565338659732,1376.4225326837131,1622.5125539600342,1376.7885740315965
2026-01-01 18:00:00,1217.5225,1100.187156835404,1337.5331936824864,1591.992215831072,1342.6397576286583
2026-01-01 19:00:00,1249.42,1045.805136054365,1294.5974717825382,1542.1709515179573,1293.2513821942273
2026-01-01 20:00:00,1136.72,979.9739594836176,1226.4866111761785,1479.3965458775472,1225.6621208118163
2026-01-01 21:00:00,1060.4724999999999,894.6627914619527,1146.7975166104093,1404.7891947654898,1148.003515727596
2026-01-01 22:00:00,1083.055,867.9967724975555,1094.0490947258513,1349.7766476714332,1097.7439371201817
2026-01-01 23:00:00,1107.235,822.3030105593489,1066.387230315146,1307.6821667939107,1065.0724300240938
2026-01-02 00:00:00,1081.4299999999998,811.4954336410082,1044.8634193667242,1290.8389706448368,1049.004402539586
2026-01-02 01:00:00,1072.4625,801.1597334273092,1039.0357725061826,1272.9193311998404,1041.7724852037168
2026-01-02 02:00:00,1077.9,807.1426275698328,1044.6037381436217,1283.944794425611,1049.0632380305476
2026-01-02 03:00:00,1151.1275,835.081011097,1068.972805342411,1304.7444705184478,1068.9702433521609
2026-01-02 04:00:00,1094.5125,922.173523361587,1152.8725574571333,1385.245868524393,1155.6983531098772
2026-01-02 05:00:00,1154.665,1018.0514977057292,1261.7146241333462,1492.2698001910696,1260.8358549799937
2026-01-02 06:00:00,1267.9524999999999,1118.8193777981737,1348.2319772401813,1572.9391197138834,1346.9020637865724
2026-01-02 07:00:00,1289.205,1150.6184504235832,1372.6353793945286,1595.5213931959004,1373.6600968423288
2026-01-02 08:00:00,1289.29,1154.27875739841,1377.6879557135821,1594.896535905398,1376.8434154804024
2026-01-02 09:00:00,1276.2150000000001,1161.5241059736834,1367.6563064413328,1578.167179605616,1369.35345714787
2026-01-02 10:00:00,1261.9325,1150.8954833359662,1348.779988355855,1563.1392637844206,1353.0182732359017
2026-01-02 11:00:00,1246.8274999999999,1147.183199771787,1356.6263816664623,1566.1819272336322,1357.0540569514874
2026-01-02 12:00:00,1225.435,1145.796730959081,1339.0983838062075,1534.1980731204808,1344.029916925826
2026-01-02 13:00:00,1238.78,1148.4695581097499,1346.530166163432,1554.4097949117067,1347.0034856606467
2026-01-02 14:00:00,1315.9724999999999,1163.480411293564,1357.6622386485433,1562.6722143610275,1358.712385245664
2026-01-02 15:00:00,1286.1775,1181.2482062568647,1379.5130422634338,1580.2108677610202,1378.7695355364701
2026-01-02 16:00:00,1279.6925,1166.038195477975,1354.699535821229,1552.5418678434542,1361.1142915116793
2026-01-02 17:00:00,1251.6125,1128.7410942692743,1325.6105207135492,1517.9977350233862,1327.2141153800824
2026-01-02 18:00:00,1182.295,1104.9011092783585,1286.8240821307554,1483.9863967428464,1289.6171205304165
2026-01-02 19:00:00,1165.3025,1044.0301697982018,1238.0766722027633,1424.073936610458,1237.261221786367
2026-01-02 20:00:00,1136.93,989.9517433307778,1162.1449033537606,1351.2104118277878,1164.1822829845603
2026-01-02 21:00:00,1077.265,912.0028835579043,1092.8566156883167,1266.9554447259054,1092.2949919307437
