"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","CTA|EE","Biomass","59.00"
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","CTA|EE","Biomass","58.80"
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","CTA|EE","Biomass","59.60"
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","CTA|EE","Biomass","63.00"
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","CTA|EE","Biomass","63.30"
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","CTA|EE","Biomass","63.60"
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","CTA|EE","Biomass","63.40"
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","CTA|EE","Biomass","62.80"
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","CTA|EE","Biomass","60.90"
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","CTA|EE","Biomass","59.60"
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","CTA|EE","Biomass","61.90"
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","CTA|EE","Biomass","62.40"
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","CTA|EE","Biomass","62.00"
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","CTA|EE","Biomass","60.00"
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","CTA|EE","Biomass","60.10"
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","CTA|EE","Biomass","57.30"
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","CTA|EE","Biomass","59.50"
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","CTA|EE","Biomass","59.50"
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","CTA|EE","Biomass","59.00"
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","CTA|EE","Biomass","58.50"
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","CTA|EE","Biomass","59.30"
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","CTA|EE","Biomass","58.40"
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","CTA|EE","Biomass","59.30"
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","CTA|EE","Biomass","59.30"
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","CTA|EE","Biomass","59.60"
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","CTA|EE","Biomass","59.70"
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","CTA|EE","Biomass","60.60"
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","CTA|EE","Biomass","64.70"
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","CTA|EE","Biomass","65.50"
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","CTA|EE","Biomass","65.80"
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","CTA|EE","Biomass","65.70"
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","CTA|EE","Biomass","65.10"
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","CTA|EE","Biomass","63.10"
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","CTA|EE","Biomass","60.90"
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","CTA|EE","Biomass","62.80"
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","CTA|EE","Biomass","62.80"
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","CTA|EE","Biomass","62.30"
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","CTA|EE","Biomass","60.80"
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","CTA|EE","Biomass","60.50"
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","CTA|EE","Biomass","57.50"
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","CTA|EE","Biomass","59.60"
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","CTA|EE","Biomass","60.20"
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","CTA|EE","Biomass","59.40"
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","CTA|EE","Biomass","58.90"
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","CTA|EE","Biomass","59.10"
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","CTA|EE","Biomass","59.00"
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","CTA|EE","Biomass","59.60"
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","CTA|EE","Biomass","59.60"
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","CTA|EE","Biomass","59.10"
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","CTA|EE","Biomass","58.70"
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","CTA|EE","Biomass","59.90"
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","CTA|EE","Biomass","64.00"
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","CTA|EE","Biomass","65.40"
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","CTA|EE","Biomass","65.10"
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","CTA|EE","Biomass","65.10"
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","CTA|EE","Biomass","64.10"
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","CTA|EE","Biomass","62.20"
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","CTA|EE","Biomass","60.90"
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","CTA|EE","Biomass","61.80"
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","CTA|EE","Biomass","62.10"
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","CTA|EE","Biomass","61.40"
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","CTA|EE","Biomass","59.70"
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","CTA|EE","Biomass","60.20"
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","CTA|EE","Biomass","56.90"
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","CTA|EE","Biomass","58.80"
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","CTA|EE","Biomass","58.00"
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","CTA|EE","Biomass","57.50"
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","CTA|EE","Biomass","57.30"
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","CTA|EE","Biomass","57.30"
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","CTA|EE","Biomass","57.50"
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","CTA|EE","Biomass","58.10"
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","CTA|EE","Biomass","57.80"
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","CTA|EE","Biomass","57.30"
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","CTA|EE","Biomass","56.80"
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","CTA|EE","Biomass","58.20"
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","CTA|EE","Biomass","62.10"
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","CTA|EE","Biomass","63.40"
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","CTA|EE","Biomass","63.90"
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","CTA|EE","Biomass","63.90"
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","CTA|EE","Biomass","62.80"
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","CTA|EE","Biomass","61.00"
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","CTA|EE","Biomass","59.50"
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","CTA|EE","Biomass","61.10"
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","CTA|EE","Biomass","62.00"
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","CTA|EE","Biomass","61.50"
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","CTA|EE","Biomass","59.70"
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","CTA|EE","Biomass","59.50"
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","CTA|EE","Biomass","57.10"
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","CTA|EE","Biomass","59.00"
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","CTA|EE","Biomass","58.30"
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","CTA|EE","Biomass","57.90"
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","CTA|EE","Biomass","58.20"
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","CTA|EE","Biomass","58.40"
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","CTA|EE","Biomass","59.10"
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","CTA|EE","Biomass","58.30"
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","CTA|EE","Biomass","58.00"
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","CTA|EE","Biomass","58.40"
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","CTA|EE","Biomass","58.00"
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","CTA|EE","Biomass","58.50"
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","CTA|EE","Biomass","62.40"
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","CTA|EE","Biomass","63.20"
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","CTA|EE","Biomass","63.00"
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","CTA|EE","Biomass","63.90"
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","CTA|EE","Biomass","63.00"
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","CTA|EE","Biomass","61.30"
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","CTA|EE","Biomass","59.10"
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","CTA|EE","Biomass","60.60"
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","CTA|EE","Biomass","61.10"
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","CTA|EE","Biomass","60.30"
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","CTA|EE","Biomass","58.80"
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","CTA|EE","Biomass","59.00"
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","CTA|EE","Biomass","56.20"
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","CTA|EE","Biomass","58.50"
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","CTA|EE","Biomass","57.70"
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","CTA|EE","Biomass","57.30"
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","CTA|EE","Biomass","57.30"
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","CTA|EE","Biomass","58.20"
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","CTA|EE","Biomass","58.40"
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","CTA|EE","Biomass","57.50"
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","CTA|EE","Biomass","58.20"
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","CTA|EE","Biomass","58.30"
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","CTA|EE","Biomass","59.50"
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","CTA|EE","Biomass","60.40"
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","CTA|EE","Biomass","63.70"
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","CTA|EE","Biomass","63.50"
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","CTA|EE","Biomass","62.70"
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","CTA|EE","Biomass","62.70"
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","CTA|EE","Biomass","61.80"
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","CTA|EE","Biomass","59.90"
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","CTA|EE","Biomass","58.60"
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","CTA|EE","Biomass","60.70"
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","CTA|EE","Biomass","61.10"
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","CTA|EE","Biomass","60.50"
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","CTA|EE","Biomass","58.70"
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","CTA|EE","Biomass","58.80"
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","CTA|EE","Biomass","56.20"
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","CTA|EE","Biomass","58.50"
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","CTA|EE","Biomass","58.00"
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","CTA|EE","Biomass","57.10"
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","CTA|EE","Biomass","57.40"
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","CTA|EE","Biomass","57.80"
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","CTA|EE","Biomass","57.50"
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","CTA|EE","Biomass","57.90"
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","CTA|EE","Biomass","58.00"
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","CTA|EE","Biomass","57.80"
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","CTA|EE","Biomass","58.70"
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","CTA|EE","Biomass","58.90"
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","CTA|EE","Biomass","62.20"
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","CTA|EE","Biomass","63.90"
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","CTA|EE","Biomass","63.90"
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","CTA|EE","Biomass","63.90"
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","CTA|EE","Biomass","61.50"
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","CTA|EE","Biomass","61.10"
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","CTA|EE","Biomass","61.80"
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","CTA|EE","Biomass","62.20"
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","CTA|EE","Biomass","62.30"
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","CTA|EE","Biomass","61.80"
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","CTA|EE","Biomass","59.80"
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","CTA|EE","Biomass","60.20"
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","CTA|EE","Biomass","57.40"
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","CTA|EE","Biomass","59.60"
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","CTA|EE","Biomass","60.70"
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","CTA|EE","Biomass","60.50"
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","CTA|EE","Biomass","60.30"
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","CTA|EE","Biomass","60.20"
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","CTA|EE","Biomass","59.80"
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","CTA|EE","Biomass","60.30"
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","CTA|EE","Biomass","60.70"
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","CTA|EE","Biomass","60.80"
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","CTA|EE","Biomass","60.30"
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","CTA|EE","Biomass","61.20"
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","CTA|EE","Biomass","64.70"
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","CTA|EE","Biomass","64.50"
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","CTA|EE","Biomass","65.40"
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","CTA|EE","Biomass","65.50"
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","CTA|EE","Biomass","63.80"
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","CTA|EE","Biomass","63.20"
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","CTA|EE","Biomass","62.00"
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","CTA|EE","Biomass","63.60"
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","CTA|EE","Biomass","64.10"
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","CTA|EE","Biomass","63.80"
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","CTA|EE","Biomass","62.20"
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","CTA|EE","Biomass","62.80"
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","CTA|EE","Biomass","59.90"
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","CTA|EE","Biomass","61.90"
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","CTA|EE","Biomass","63.20"
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","CTA|EE","Biomass","63.70"
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","CTA|EE","Biomass","63.70"
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","CTA|EE","Biomass","64.20"
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","CTA|EE","Biomass","64.10"
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","CTA|EE","Biomass","63.40"
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","CTA|EE","Biomass","64.00"
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","CTA|EE","Biomass","63.90"
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","CTA|EE","Biomass","63.50"
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","CTA|EE","Biomass","64.60"
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","CTA|EE","Biomass","68.20"
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","CTA|EE","Biomass","69.00"
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","CTA|EE","Biomass","69.40"
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","CTA|EE","Biomass","69.50"
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","CTA|EE","Biomass","67.50"
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","CTA|EE","Biomass","66.40"
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","CTA|EE","Biomass","64.10"
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","CTA|EE","Biomass","65.40"
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","CTA|EE","Biomass","65.50"
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","CTA|EE","Biomass","64.80"
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","CTA|EE","Biomass","63.50"
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","CTA|EE","Biomass","64.30"
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","CTA|EE","Biomass","60.90"
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","CTA|EE","Biomass","62.30"
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","CTA|EE","Biomass","60.50"
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","CTA|EE","Biomass","60.40"
"12/01/2020 07:00:00 - 12/01/2020 08:00:00","CTA|EE","Biomass","61.10"
"12/01/2020 08:00:00 - 12/01/2020 09:00:00","CTA|EE","Biomass","62.20"
"12/01/2020 09:00:00 - 12/01/2020 10:00:00","CTA|EE","Biomass","62.10"
"12/01/2020 10:00:00 - 12/01/2020 11:00:00","CTA|EE","Biomass","61.60"
"12/01/2020 11:00:00 - 12/01/2020 12:00:00","CTA|EE","Biomass","62.30"
