timestamp,supply_s1_p10,supply_s1_p50,supply_s1_p90,supply_s2_p10,supply_s2_p50,supply_s2_p90,supply_s3_p10,supply_s3_p50,supply_s3_p90,supply_s4_p10,supply_s4_p50,supply_s4_p90
2025-12-31 23:00:00+00:00,1013.4965958007813,1121.3339676269532,1279.5562271484375,202.1507,309.98807,468.21033,202.15069580078125,309.9880676269531,468.2103271484375,202.15069580078125,309.9880676269531,468.2103271484375
2026-01-01 00:00:00+00:00,1014.5384817138672,1125.9342184082032,1282.0760641113282,209.56938,320.96512,477.10696,226.88542182047303,338.28115851480896,494.42300421793396,245.82991349965474,357.22565019399065,513.3674958971156
2026-01-01 01:00:00+00:00,1033.4918125732422,1148.2150944335938,1302.2924259765625,200.92851,315.6518,469.72913,226.67200841966425,341.39529028001584,495.4726218229846,255.89795928768027,370.62124114803186,524.6985726910005
2026-01-01 02:00:00+00:00,994.4826791015626,1113.022077294922,1267.9168221679688,212.04358,330.58298,485.47772,246.70237731639253,365.2417755097519,520.1365203827988,291.6449204493985,410.1843186427579,565.0790635158048
2026-01-01 03:00:00+00:00,980.1792109863281,1102.6707881347656,1259.4576838867188,219.35501,341.8466,498.63348,272.4395491224577,394.9311262708952,551.7180220228483,349.0139338455355,471.505510993973,628.2924067459262
2026-01-01 04:00:00+00:00,946.8830004882813,1078.9815112304686,1237.7775927734374,257.2005,389.299,548.0951,324.5311245885781,456.6296353307656,615.4257168737344,408.77907390521324,540.8775846474007,699.6736661903694
2026-01-01 05:00:00+00:00,880.06230625,1021.7018936523438,1180.70732578125,267.9414,409.581,568.5864,325.6779587766357,467.31754617897946,626.3229783078857,406.77674969848596,548.4163371008297,707.4217692297359
2026-01-01 06:00:00+00:00,878.3529886230468,1028.9755472167967,1187.1405557617186,287.1721,437.79465,595.95966,357.3677574109639,507.9903160047139,666.1553245496358,436.4698968482972,587.0924554420471,745.257463986969
2026-01-01 07:00:00+00:00,934.9282084472657,1093.4845438964844,1250.0515299804688,310.6249,469.18124,625.7482,325.49369808201783,484.0500335312366,640.6170196152209,421.66159758900073,580.2179330382195,736.7849191222039
2026-01-01 08:00:00+00:00,955.9449932861328,1117.175782470703,1274.7937329101562,224.9775,386.20828,543.82623,254.4461850605312,415.6769742451015,573.2949246845546,341.1578726647736,502.3886618493439,660.0066122887971
2026-01-01 09:00:00+00:00,922.8447778320312,1084.5154626464844,1243.4529321289062,205.64728,367.31796,526.25543,302.85938758339125,464.5300723978444,623.4675418802663,381.307750652045,542.9784354664981,701.91590494892
2026-01-01 10:00:00+00:00,934.7631579589843,1093.5119067382811,1254.8319750976561,185.83066,344.5794,505.89948,313.28386280075284,472.0326115800497,633.3526799394248,416.96679837830527,575.7155471576021,737.0356155169771
2026-01-01 11:00:00+00:00,960.2898045166015,1116.2106266601563,1279.2191715820313,194.2765,350.19733,513.2059,334.6937246395674,490.6145467831221,653.623091704997,448.2954432917142,604.216265435269,767.224810357144
2026-01-01 12:00:00+00:00,992.6178422363282,1147.6606889160157,1310.6694474609376,231.68704,386.7299,549.73865,352.1402235734125,507.1830702531,670.1918287980219,471.2326886823654,626.2755353620529,789.2842939069748
2026-01-01 13:00:00+00:00,1019.2660018554687,1174.4256698242189,1336.7003280273439,233.5744,388.73407,551.0087,378.8022207476552,533.9618887164052,696.2365469195302,539.1890579092998,694.3487258780498,856.6233840811748
2026-01-01 14:00:00+00:00,1007.3377772705078,1163.4375544921875,1324.7923518554687,241.83858,397.93835,559.29315,406.30853262650476,562.4083098481844,723.7631072114657,630.3007532596539,786.4005304813336,947.7553278446148
2026-01-01 15:00:00+00:00,997.3193893066407,1154.6724471679688,1313.7691268554688,262.7653,420.11835,579.215,422.2845685299129,579.637626391241,738.734306078741,630.3160925196663,787.6691503809944,946.7658300684944
2026-01-01 16:00:00+00:00,1011.3054553222656,1169.3432055664061,1326.6025439453124,282.43546,440.4732,597.73254,475.9424110152375,633.9801612593781,791.2394996382843,722.0920198056813,880.1297700498219,1037.3891084287282
2026-01-01 17:00:00+00:00,993.2341146484375,1151.8878622070313,1307.5910482421875,278.39,437.04376,592.74695,492.0471454551039,650.7008930136976,806.4040790488539,772.1492515897911,930.8029991483849,1086.5061851835412
2026-01-01 18:00:00+00:00,976.961396484375,1136.072999267578,1289.2385571289062,319.9314,479.043,632.20856,534.3977367732878,693.5093395564909,846.674897417819,796.0967958244651,955.2083986076682,1108.3739564689963
2026-01-01 19:00:00+00:00,992.2134322753907,1150.1203841796876,1299.8113021484376,335.15933,493.06628,642.7572,559.2238884668695,717.1308403711664,866.8217583399164,884.8247031943026,1042.7316550985995,1192.4225730673495
2026-01-01 20:00:00+00:00,874.5337332519532,1030.2279166015626,1176.70045078125,335.62283,491.31702,637.78955,575.566237153581,731.2604205031904,877.7329546828779,938.8007880182395,1094.4949713678488,1240.9675055475363
2026-01-01 21:00:00+00:00,801.2959391601563,957.1415202148438,1101.6929728515624,348.14264,503.98822,648.5397,590.5852254928947,746.4308065475822,890.9822591843009,960.9647352889625,1116.81031634365,1261.3617689803687
2026-01-01 22:00:00+00:00,825.4748620605469,981.2022790527344,1124.6105737304688,319.88986,475.61728,619.0256,548.8579273622869,704.5853443544744,847.9936390322088,905.5838233358064,1061.3112403279938,1204.7195350057282
2026-01-01 23:00:00+00:00,847.2634671386719,1003.05011875,1144.2099087890624,315.28757,471.07422,612.234,531.8473938096306,687.6340454209587,828.7938354600212,839.6444322080434,995.4310838193716,1136.590873858434
2026-01-02 00:00:00+00:00,829.7832625,986.3228437988281,1126.7821638671876,282.97656,439.51614,579.97546,485.2516383090397,641.7912196078678,782.2505396762272,781.5805972991502,938.1201785979783,1078.5794986663377
2026-01-02 01:00:00+00:00,828.5032583984375,984.9134451660157,1125.4753653320313,235.66736,392.07755,532.63947,432.7058735771198,589.1160603446979,729.6779805107135,681.3129968060266,837.7231835736047,978.2851037396204
2026-01-02 02:00:00+00:00,836.7317036621093,993.4021443359375,1135.3787678710937,213.16,369.83044,511.80707,398.7139695639637,555.3844102377918,697.3610337729481,638.7827604629313,795.4532011367594,937.4298246719156
2026-01-02 03:00:00+00:00,908.823189086914,1065.0290759277343,1208.5798876953124,216.56569,372.77158,516.3224,383.22764453616037,539.4335313769807,682.9843431445588,637.4821569947096,793.6880438355299,937.238855603108
2026-01-02 04:00:00+00:00,852.9150732421875,1010.0746496582032,1155.8526953125001,264.95007,422.10965,567.8877,428.39695033759654,585.5565267536122,731.334572407909,680.9032283495726,838.0628047655882,983.8408504198851
2026-01-02 05:00:00+00:00,931.6811535644531,1091.0381176757812,1239.5453198242187,282.40115,441.75812,590.2653,451.9001903622524,611.2571544735805,759.764356622018,688.1897021202067,847.5466662315348,996.0538683799723
2026-01-02 06:00:00+00:00,1033.1783337402344,1195.1950268554688,1347.167744140625,291.76083,453.77753,605.75024,434.4708695791767,596.487562694411,748.4602799795673,647.537776835167,809.5544699504014,961.5271872355577
2026-01-02 07:00:00+00:00,1056.2891044433595,1221.0740165527345,1376.6313590820314,289.6058,454.39072,609.94806,440.555806146479,605.340718255854,760.8980607851508,671.373160449316,836.158072558691,991.7154150879878
2026-01-02 08:00:00+00:00,1056.966260986328,1223.005537109375,1381.5868359375,254.01126,420.05054,578.63184,404.0396355487887,570.0789116718356,728.6602104999606,622.5775640863358,788.6168402093826,947.1981390375076
2026-01-02 09:00:00+00:00,1055.5142582519532,1221.625555859375,1382.3825138671875,237.63846,403.74976,564.5067,375.30375332790646,541.4150509353283,702.1720089431408,581.845971740858,747.9572693482799,908.7142273560924
2026-01-02 10:00:00+00:00,1056.9989717285157,1219.6890352050782,1383.1719758789063,222.85977,385.54984,549.0328,367.9233590826409,530.6134225592034,694.0963632330315,546.0667585498175,708.75682202638,872.2397627002081
2026-01-02 11:00:00+00:00,1066.5739376464844,1224.2776119628907,1390.849725,224.98984,382.6935,549.2656,357.52853310287753,515.2322074192838,681.8043204563932,521.2298589705422,678.9335332869484,845.5056463240578
2026-01-02 12:00:00+00:00,1063.357582836914,1215.1021659667967,1383.5566642578124,215.56178,367.30637,535.76086,282.70424184206115,434.44882497194396,602.9033232629596,433.3948481500976,585.1394312799804,753.593929570996
2026-01-02 13:00:00+00:00,1108.509243432617,1254.457714501953,1423.403789941406,213.22514,359.1736,528.1197,316.8064253637274,462.7548964330633,631.7009718725164,474.72358121912157,620.6720522884575,789.6181277279106
2026-01-02 14:00:00+00:00,1186.222235888672,1328.3786995117189,1497.1222297851564,211.45554,353.612,522.3555,311.0807641582838,453.23722778133066,621.9807580547681,455.8112802495975,597.9677438726444,766.7112741460819
2026-01-02 15:00:00+00:00,1155.7226135253907,1296.1041748046875,1464.6232788085938,203.21011,343.59167,512.1108,293.2227777690968,433.6043390483937,602.1234430523,434.4691191083664,574.8506803876633,743.3697843915695
2026-01-02 16:00:00+00:00,1144.061661376953,1284.0559240722655,1452.068741455078,200.98416,340.97842,508.99124,278.55342193334207,418.54768462865457,586.5605020114671,409.4609716779193,549.4552343732319,717.4680517560444
2026-01-02 17:00:00+00:00,1104.9022192382813,1245.4835485839844,1412.6348852539063,178.58722,319.16855,486.3199,230.1553705179273,370.7366998636304,537.8880365335523,346.10621774939676,486.6875470950999,653.8388837650218
2026-01-02 18:00:00+00:00,1032.131504345703,1173.3328593261717,1339.1226847656249,151.1282,292.32956,458.1194,183.96811422539164,325.1694692058604,490.95929464531355,316.7505845889266,457.95193956939534,623.7417650088485
2026-01-02 19:00:00+00:00,1008.237377319336,1151.6635095214845,1316.8175622558595,135.13988,278.566,443.72006,169.47688232007079,312.9030145222192,478.0570672565942,306.9016145802367,450.32774678238513,615.4817995167601
2026-01-02 20:00:00+00:00,975.5424705322266,1118.6969047363282,1282.36191328125,123.63417,266.7886,430.4536,149.35208005712644,292.506514261228,456.1715228061499,276.5206144542482,419.67504865834974,583.3400572032716
2026-01-02 21:00:00+00:00,919.7120501708985,1061.9987475585938,1224.1590563964844,118.17955,260.46625,422.62656,160.96188180331788,303.24857919101316,465.4088880289038,262.984450716104,405.2711481037993,567.4314569416899
2026-01-02 22:00:00+00:00,934.0849118408204,1074.2196927246096,1234.5432095703127,115.90901,256.0438,416.3673,182.98403173773127,323.1188126215203,483.44232946722343,287.88991765825403,428.0246985420431,588.3482153877462
2026-01-02 23:00:00+00:00,884.8617010498047,1021.1846228027343,1179.9090795898437,124.1342,260.45712,419.18158,203.96072504129316,340.2836467942228,499.0081035813322,296.62612953502935,432.94905128795904,591.6735080750684
2026-01-03 00:00:00+00:00,922.7488130371094,1054.6999849121094,1212.859835986328,152.38461,284.3358,442.49564,210.52869349034552,342.4798653653455,500.63971643956427,289.84899110920145,421.80016298420145,579.9600140584203
2026-01-03 01:00:00+00:00,1009.6560226074218,1135.4550033203125,1292.2506576171875,170.25192,296.0509,452.84656,233.03752600342162,358.8365067163122,515.6321610131872,336.14663955881156,461.9456202717022,618.7412745685772
2026-01-03 02:00:00+00:00,1015.4382934570312,1136.8096008300781,1292.0009460449219,169.6883,291.0596,446.25095,233.79353808121135,355.1648454542582,510.356190669102,333.2479306007359,454.6192379737828,609.8105831886265
2026-01-03 03:00:00+00:00,975.9280989257812,1095.06011796875,1249.8035872070313,176.1839,295.31592,450.0594,249.07882059333411,368.21083963630286,522.9543088745841,346.4450215820775,465.57704062504627,620.3205098633275
2026-01-03 04:00:00+00:00,962.3019375976563,1080.3481717285158,1235.9223599609377,171.12604,289.17227,444.74646,237.85949403139517,355.90572816225455,511.4799163946764,320.91735582482795,438.9635899556873,594.5377781881092
2026-01-03 05:00:00+00:00,978.5539383300782,1097.1574234375,1253.509230078125,180.14554,298.74902,455.10083,198.31748652880881,316.92097163623066,473.27277827685566,270.0403271520015,388.6438122594234,544.9956189000484
2026-01-03 06:00:00+00:00,1013.5203422363281,1133.4071830566406,1290.9234794433594,177.31204,297.19888,454.71518,180.5026628503427,300.3895036706552,457.90580005737394,243.00137697842595,362.8882177987384,520.4045141854572
2026-01-03 07:00:00+00:00,1081.2804427734375,1201.9012313476562,1360.5304427734375,170.00134,290.62213,449.25134,172.04864262352885,292.6694311977476,451.29864262352885,237.25034992626553,357.8711385004843,516.5003499262655
2026-01-03 08:00:00+00:00,1096.6230541992188,1217.5730969238282,1377.5641552734376,182.25555,303.2056,463.19666,188.71443831478402,309.66448103939337,469.65553938900274,233.7154938942022,354.6655366188116,514.6565949684209
2026-01-03 09:00:00+00:00,1137.7269030761718,1258.7110034179686,1419.8525134277343,174.6069,295.591,456.7325,181.2084753127308,302.1925756545277,463.3340856642933,212.13224307927396,333.11634342107084,494.25785343083646
2026-01-03 10:00:00+00:00,1124.1537922851562,1244.4078206054687,1406.256026171875,166.64459,286.89862,448.74683,167.14180581849553,287.395834138808,449.2440397052143,185.50780143359736,305.76182975390986,467.6100353203161
2026-01-03 11:00:00+00:00,1047.6552703857421,1166.9580200195312,1329.0980346679687,172.79277,292.09552,454.23553,174.16321223863267,293.46596187242176,455.60597652085926,178.90779979976458,298.21054943355364,460.35056408199114
2026-01-03 12:00:00+00:00,1087.6896618652345,1205.115107421875,1367.2112377929689,155.05966,272.4851,434.58124,155.05966186523438,272.485107421875,434.58123779296875,163.0554134504184,280.480859007059,442.57698937815275
2026-01-03 13:00:00+00:00,1128.463670654297,1245.2682360839844,1407.5922106933594,167.98117,284.78574,447.1097,168.08626447301856,284.89082990270606,447.21480451208106,183.62774106817182,300.4323064978593,462.7562811072343
2026-01-03 14:00:00+00:00,1186.73841640625,1305.7739388671876,1469.5558602539063,170.86182,289.89734,453.67926,173.29039895978264,292.32592142072014,456.1078428074389,208.2826747270011,327.3181971879386,491.10011857465736
2026-01-03 15:00:00+00:00,1196.9834313964843,1318.740206298828,1484.5303674316406,165.61093,287.3677,453.15787,168.11107442543747,289.8678493277812,455.6580104605937,203.32400442602997,325.0807793283737,490.8709404611862
2026-01-03 16:00:00+00:00,1171.7488037109374,1295.5222106933593,1463.7946411132812,149.2738,273.0472,441.31964,149.48560453014736,273.25901151256926,441.53144193249113,171.59272380387912,295.366130786301,463.6385612062229
2026-01-03 17:00:00+00:00,1133.792087402344,1259.5314672851564,1429.2953833007814,134.88959,260.62897,430.39288,149.00256321978495,274.7419431025975,444.5058591182225,174.13024211620052,299.869621999013,469.633538014638
2026-01-03 18:00:00+00:00,1092.9073943725587,1221.350700341797,1391.5129012695313,122.853294,251.2966,421.4588,125.93920454991354,254.38251051915182,424.5447114468862,158.57085102322307,287.0141569924614,457.17635792019576
2026-01-03 19:00:00+00:00,1056.9330798706055,1187.3262149414063,1356.4521915039063,111.24218,241.63531,410.7613,127.83105346099688,258.22418853179767,427.35016509429767,158.44555478980868,288.83868986060946,457.96466642310946
2026-01-03 20:00:00+00:00,1063.6272044189454,1185.854377270508,1349.7166666992189,130.4864,252.71358,416.57587,144.03614355464947,266.26331640621197,430.1256058349229,169.28577089918718,291.5129437507497,455.3752331794606
2026-01-03 21:00:00+00:00,987.8093273925781,1110.4383862304687,1274.8658154296875,135.52933,258.1584,422.58582,140.9567750555802,263.58583389347086,428.0132630926896,174.9886881635333,297.61774700142394,462.0451762006427
2026-01-03 22:00:00+00:00,968.6989611816407,1095.1369494628907,1258.6445483398438,135.15396,261.59195,425.09955,158.16130173553742,284.59929001678745,448.1068888937406,189.32302631734393,315.76101459859393,479.26861347554706
2026-01-03 23:00:00+00:00,936.9444961914063,1059.1125564941408,1219.7303848632814,138.9986,261.16666,421.7845,167.14940179681025,289.3174620995446,449.93529046868525,209.9358251715973,332.10388547433166,492.7217138434723
2026-01-04 00:00:00+00:00,916.9540279785156,1032.8778561035156,1189.601122705078,169.33243,285.25626,441.97952,172.91776504195965,288.8415931669596,445.5648597685221,200.5269433466382,316.4507714716382,473.1740380732007
2026-01-04 01:00:00+00:00,923.1505262939454,1035.17535234375,1192.5197126953126,190.96883,302.99365,460.338,202.4714467838728,314.4962728336775,471.84063318524,225.00458595787512,337.0294120076798,494.3737723592423
2026-01-04 02:00:00+00:00,961.8358378417969,1071.1218180664064,1229.222068310547,195.50754,304.79352,462.89377,218.34118007956795,327.6271603041773,485.72741054831795,251.48905121852295,360.7750314431323,518.875281687273
2026-01-04 03:00:00+00:00,989.1575714111328,1095.3616882324218,1253.2431884765624,215.62007,321.8242,479.7057,232.42504159478796,338.629158416077,496.51065866021764,260.2801483731495,366.48426519443854,524.3657654385792
2026-01-04 04:00:00+00:00,998.3332008544921,1101.993341845703,1259.7792,214.1165,317.77664,475.5625,233.12631873080338,336.78645972201434,494.5723178763112,261.4334016069551,365.09354259816604,522.8794007524629
2026-01-04 05:00:00+00:00,979.4864703369141,1082.7582446289061,1240.8926135253905,217.36647,320.63824,478.7726,242.34510048479004,345.6168747767822,503.7512436732666,271.1606892680036,374.43246355999577,532.5668324564801
2026-01-04 06:00:00+00:00,976.2523205566406,1080.4422619628906,1239.822724609375,280.84732,385.03726,544.4177,287.75126485140765,391.94120625765765,551.321668904142,306.330465227729,410.520406633979,569.9008692804633
2026-01-04 07:00:00+00:00,987.5837491210938,1093.2943204101562,1253.87091953125,321.92035,427.63092,588.2075,326.86895937602424,432.57953066508674,593.1561297861805,346.9221912014161,452.6327624904786,613.2093616115724
2026-01-04 08:00:00+00:00,1057.8426322753905,1165.0436515625,1326.814159375,375.84683,483.04785,644.81836,389.92713708087683,497.1281563679862,658.8986641804862,413.2338576499693,520.4348769370787,682.2053847495787
2026-01-04 09:00:00+00:00,1107.1445727539062,1215.4504809570312,1378.4249072265625,400.43707,508.74298,671.7174,409.44341400090065,517.7493222040257,680.723748473557,420.72069061413356,529.0265988172586,692.0010250867898
2026-01-04 10:00:00+00:00,1069.4232507324218,1178.5410791015624,1342.548037109375,409.48825,518.6061,682.61304,411.6408704823171,520.7586988514577,684.7656568592702,418.4740860943706,527.5919144635112,691.5988724713237
2026-01-04 11:00:00+00:00,1129.966924609375,1239.2053279296874,1404.088506640625,405.98022,515.2186,680.1018,409.59371916458895,518.8321224849014,683.715301195839,423.96458165036677,533.2029849706793,698.0861636816168
2026-01-04 12:00:00+00:00,1131.604294873047,1241.0977946289063,1406.4670573242188,437.676,547.1695,712.53876,441.2213248257723,550.7148245816317,716.0840872769442,443.8214519043944,553.3149516602538,718.6842143555663
2026-01-04 13:00:00+00:00,1137.56199140625,1247.493387890625,1413.3901774414062,434.4087,544.3401,710.2369,436.8107225319677,546.7421190163427,712.638908567124,450.49338383840825,560.4247803227832,726.3215698735645
2026-01-04 14:00:00+00:00,1170.1259985351562,1280.70943359375,1446.8699560546875,440.961,551.54443,717.70496,444.7265771376323,555.310012196226,721.4705346571635,470.24955841480704,580.8329934734007,746.9935159343382
2026-01-04 15:00:00+00:00,1223.156418017578,1334.095840625,1500.3078767578124,436.42972,547.36914,713.5812,456.2104633964016,567.1498860038236,733.361922136636,511.99115643991684,622.9305790473387,789.1426151801512
2026-01-04 16:00:00+00:00,1237.246662939453,1347.8466690429686,1513.8787735351561,381.50076,492.10077,658.1329,400.29360238429354,510.89360848780916,676.9257129799967,459.1769721712758,569.7769782747914,735.8090827669789
2026-01-04 17:00:00+00:00,1204.4071598632813,1314.0393009765626,1479.607294140625,361.39386,471.026,636.594,373.32545828934127,482.9575994026225,648.525592566685,405.09524881169835,514.7273899249797,680.2953830890422
2026-01-04 18:00:00+00:00,1118.8934721191406,1227.4346403320312,1391.85425703125,409.08267,517.62384,682.04346,417.23407732147035,525.7752455343609,690.1948622335797,433.8751334432274,542.416301656118,706.8359183553367
2026-01-04 19:00:00+00:00,1103.9133915527343,1211.513672314453,1374.42501875,393.4376,501.03787,663.9492,401.91509234696446,509.5153731086832,672.4267195442301,439.0966285774612,546.69690933918,709.6082557747269
2026-01-04 20:00:00+00:00,1084.842491455078,1191.7138598632812,1353.6497729492187,382.1475,489.01886,650.9548,398.1029819814263,504.9743503896294,666.9102634755669,429.8719816567944,536.7433500649975,698.679263150935
2026-01-04 21:00:00+00:00,1039.5403967285156,1144.5306005859375,1305.620810546875,351.8129,456.8031,617.8933,368.01336311183604,473.0035669692579,634.0937769301954,404.74104823971436,509.73125209713623,670.8214620580737
2026-01-04 22:00:00+00:00,1002.8881713867188,1106.7407104492188,1267.0392944335938,358.75067,462.6032,622.9018,375.0948757883687,478.9474148508687,639.2459988352437,409.8335761161996,513.6861151786995,673.9846991630745
2026-01-04 23:00:00+00:00,917.2412829589844,1021.3484912109375,1180.744365234375,438.15878,542.266,701.66187,454.9039314250064,559.0111396769595,718.407013700397,487.6449447307616,591.7521529827147,751.1480270061522
2026-01-05 00:00:00+00:00,925.5426806640626,1028.4237231445313,1187.36384765625,440.43518,543.3162,702.25635,482.14256403562877,585.0236065160975,743.9637310278163,541.4539262287982,644.334968709267,803.2750932209857
2026-01-05 01:00:00+00:00,945.7421004882813,1048.9955794921875,1207.970066796875,475.8255,579.079,738.05347,508.74280153717325,611.9962805410795,770.970767845767,569.2801313472661,672.5336103511723,831.5080976558598
2026-01-05 02:00:00+00:00,966.6659603515625,1071.6445370117187,1231.2573299804687,515.53186,620.51044,780.1232,546.7575789187632,651.7361555789195,811.3489485476695,616.0954596329921,721.0740362931483,880.6868292618983
2026-01-05 03:00:00+00:00,952.3855151367187,1058.7530688476563,1218.7715014648438,540.8405,647.20807,807.2265,594.0356371464761,700.4031908574136,860.4216234746011,682.4135296893268,788.7810834002643,948.7995160174518
2026-01-05 04:00:00+00:00,1026.8814616210939,1135.1847453125001,1295.6144328125001,583.24066,691.54395,851.97363,655.2388155993236,763.5420992907299,923.9717867907299,723.3048800219176,831.6081637133238,992.0378512133238
2026-01-05 05:00:00+00:00,1184.8976041992187,1294.2602140625,1455.4333708007812,566.4118,675.7744,836.9476,629.620082540292,738.9826924035732,900.1558491418544,706.0523241226067,815.414933985888,976.5880907241692
2026-01-05 06:00:00+00:00,1309.7233284179688,1421.4481819335938,1583.5172737304688,590.4191,702.144,864.2131,637.8548291180664,749.5796826336914,911.6487744305664,703.3680214470528,815.0928749626778,977.1619667595528
