timestamp,price_ee,price_fi,price_lv,price_lt,"flow_('ee', 'fi')","flow_('ee', 'lv')",system_production,system_consumption,system_losses,system_frequency,system_system_balance,system_ac_balance,system_production_renewable,system_solar_energy_production
2019-01-01 00:00:00+00:00,21.803749999999997,21.803749999999997,21.803749999999997,21.803749999999997,-67.633675,204.14560833333334,824.6196965277778,859.5478510416666,,49.999124305555554,-34.74836388888889,32.79402916666666,167.3691017361111,
2019-01-02 00:00:00+00:00,44.31791666666667,44.31791666666667,44.31791666666667,42.99041666666667,-20.251704166666666,310.130475,1007.5927100694444,1046.8878354166668,,50.00050520833334,-39.18357256944444,-17.071853472222223,189.73396493055554,
2019-01-03 00:00:00+00:00,57.26416666666666,57.19916666666666,57.26416666666666,55.13291666666667,-106.76549999999999,346.9461833333333,1020.0540864583332,1138.4083746527779,,49.653257986111115,-113.54615243055555,-8.854227777777778,136.35831597222221,
2019-01-04 00:00:00+00:00,54.53583333333333,54.53583333333333,54.53583333333333,54.53583333333333,-439.9450708333333,499.87226250000003,1067.2385489583332,1164.8688291666667,,50.000815625,-97.12269583333334,342.8883545138889,82.26764479166667,
2019-01-05 00:00:00+00:00,52.29583333333333,52.29583333333333,52.29583333333333,52.26458333333333,-131.17227083333333,349.97351249999997,935.5331079861111,1053.1994496527777,,49.998374999999996,-117.4998284722222,13.999702083333332,80.31749444444443,
2019-01-06 00:00:00+00:00,51.09041666666667,51.09041666666667,51.90541666666667,51.90541666666667,-325.411875,486.5275791666667,1015.259525,1043.3545173611112,,50.00015069444444,-27.645068055555555,298.3782173611111,45.680436111111106,
2019-01-07 00:00:00+00:00,51.918749999999996,51.918749999999996,58.650416666666665,58.650416666666665,-519.2124708333333,603.4512166666667,1248.7441125,1153.5268916666666,,50.00013194444445,95.71995729166666,613.9039260416666,95.20229027777778,
2019-01-08 00:00:00+00:00,52.01791666666667,52.01791666666667,58.749583333333334,58.749583333333334,-464.59312500000004,497.7681416666667,1189.3336065972223,1138.7006038194445,,50.00062361111111,51.19370625,516.1013520833334,69.07694270833333,
2019-01-09 00:00:00+00:00,58.31708333333333,58.31708333333333,58.89625,58.845416666666665,-316.4874916666667,430.4007166666667,1251.9563996527777,1179.8065489583335,,50.00057430555555,72.53462361111112,390.1725246527778,22.50517534722222,
2019-01-10 00:00:00+00:00,59.51291666666666,59.51291666666666,64.82083333333334,64.96374999999999,-138.65120416666667,548.5630291666666,1563.4107260416667,1190.4718684027778,,50.00057708333333,373.2935145833333,510.5770722222222,45.12456180555555,
