sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99,sim_100
1161.5504173596053,1100.9138097699727,786.82486113263,830.4175574019058,868.7563170358032,1054.8633275442905,854.5103540630133,733.9704824429698,752.6131102978063,873.6793114747818,1156.9377040613263,857.0096664443738,1109.7040577840062,807.3325986888307,997.604018193781,1132.8228564544338,1225.7073027356328,731.5755937346054,1051.4413024862133,972.4273197552124,1217.9487902622798,977.3437939219384,855.1179372209954,855.3997233096648,860.7475022238332,985.0977089674982,1172.7219265260444,1087.5308887145254,1182.981404665719,1028.0526816420406,846.2175610034525,1119.7249035282148,1061.3316259881678,897.5273601129021,1170.9216548528254,1082.0002788351708,1017.0035807767106,928.8319096414431,1050.7856706346329,1305.5917163414897,956.5568554593876,960.8470015014245,1190.8944042792452,781.2396611014414,1088.4722150947175,883.2915705786733,1042.0208888999346,963.9182735888128,897.249895293847,1060.8117828351226,900.2462635536991,974.2979108690993,771.4757430851022,985.832717977955,1182.8495405561637,1197.7961177462491,1127.7585017084837,995.0944114082978,1037.348303776653,897.3790798388479,1234.5504981156716,859.6055850325961,1161.996487880664,983.4517229449688,1251.2904925860878,1103.329353380486,931.7802424010251,1115.6454631884933,990.2328080446614,967.8213294394118,1078.6847990253332,1104.180762536607,1070.2077162821038,965.2217076791458,1019.7104732065127,986.0341530951501,834.659203363468,1016.8471128065494,915.0599764407888,1255.2927511893574,1015.2373891281532,764.3178256568633,1081.6562271276584,1006.4483608025447,1055.3864900491267,1182.785160155779,920.522195679642,952.9256068669953,930.2511982771466,968.655389230086,1033.5450086436845,936.4912156083301,1105.8419162895018,889.3529066159248,1168.8766387539624,1003.1633045774342,1107.6180010026408,1298.1133540504682,1070.4908514034237,1184.1519679805185
1206.4789384030923,1059.4199209548824,811.0723275135508,893.9644468261143,842.0092046735805,1016.623401247199,968.507356304941,781.3942725864044,908.5377000885825,846.7616757923929,1251.5741740538085,742.6230372225684,1280.21586491024,749.8652318463664,1029.74707195384,1136.369894615544,1311.326263465264,743.0132708059389,1184.5391417786495,897.4937108704304,1177.0606788661994,1037.4596188464952,873.6109246353941,786.5755533765214,908.8255299390547,985.3839540534854,1046.332644011219,1150.9254247754282,1232.939228970668,939.3656542888319,902.257300220626,1128.7519753015472,953.7283575567118,956.2174319367815,1236.6738574669957,1036.6760372266624,1076.3039181544946,932.8663498029943,1098.5958015168505,1333.9272213361626,1015.1397152662421,890.3203025542215,1207.562868406454,876.9956657770502,1303.5482294294127,1027.9979535633797,1005.980289235963,1087.5784631813426,952.3667903333807,1082.1793266752538,883.0199849611931,1032.5469646496226,862.3588412698534,1017.8427501597118,1085.0617284006619,1137.413489147034,1124.5873584115498,916.3680895291016,960.2377230582321,879.6146344490455,1106.008763751399,891.747989798158,1239.9626640071772,906.2762283893402,1245.2797021625831,1015.2512566110787,868.1864877241782,1136.698808327901,1064.4548136420672,1009.4790161945418,961.26265662162,1023.13685645063,1118.7927714485738,962.6249206582967,1015.576230842222,921.5355758828348,704.7834670294814,931.6158193161813,896.8162167201847,1116.8439031533374,1040.7382709301219,788.9797586014918,893.6161071662784,1036.4453605494552,1065.358734546737,1270.1397742208135,931.0026185983753,1050.0659659024507,990.693654599404,854.1771324379804,1023.4995035397739,964.8613158678687,1025.0500137412705,794.5682527974144,1137.0911555577916,1126.1207788810405,1175.3378694774474,1169.7884033960938,1025.2011637211658,1164.417599311721
1284.052543284947,1262.926734647439,819.5669355883397,956.6308538420243,824.0323609557827,1187.54384272851,817.1246156862913,728.9864406103926,879.9288086064819,802.7831456738477,1209.028511699805,777.9461813519539,1197.2111426285383,888.9177144886961,1054.1495732093329,1010.5740431759533,1343.4758852437803,906.2536937833536,1169.522540656854,962.3967622260424,1258.2867335390144,1100.049216784499,854.5241675838664,766.3402889238015,787.7071843244366,1081.3839141166022,1089.6986597344803,1119.5569573633761,1120.5342965916518,988.9904214059516,866.5618949955774,1115.0431549879913,877.7173287000761,939.1802292953768,1290.5168141086353,967.9677000234934,1051.1822117435204,926.4348250111007,985.2709944181058,1355.0175794503152,1045.566911078697,1051.2688624692516,1200.412931406897,784.8974461179658,1113.8747428584925,1033.8798595001306,949.8747758975629,988.6275991356391,939.59158064611,1163.8628335180722,864.0766195378661,867.7892837723961,724.688432532949,1018.8671981328912,1162.4003106636835,1099.8645016368037,1158.0597817668388,859.514799071171,1059.5342528767405,887.1103216688184,1199.3885742726936,876.5945020291794,1214.3290807399703,868.4051974976859,1148.0286073608513,1146.7552014785285,962.9874878711239,1147.9234056856815,1120.7677823326428,1130.670438391915,1094.0238385394048,1242.2656108183378,1179.8525630978386,1037.4827220479228,1056.4192067830522,1012.3201611786579,818.1402476422376,949.2122747967469,983.6832964493445,1197.942187059449,1162.6440307831178,811.5886176891148,980.4143454357802,1029.2366882214835,1136.4357123651794,1262.002060819358,889.0712438342925,902.6508255023923,947.4755917503968,962.4663652967353,1053.003834425399,1008.8647201262697,1059.1199406360151,772.852192937025,1138.6881555746145,992.9738249369835,1054.5453920184048,1267.7581655936353,1085.961495694116,1151.7142250124377
1299.1318358765895,1286.5651415334903,942.7218102648031,1075.7341051461744,1071.4810315002564,1373.1377018353057,860.7245354490232,789.5531568685843,886.4671697363987,932.9673318331105,1253.020419425679,843.7764332014392,1240.4442150583218,857.0213850508968,1125.887532208205,1062.6178491987218,1379.6888686160269,776.9629401028672,1232.7614003336153,1002.9494197612071,1172.845159791629,1058.107475050558,810.584854183334,760.4904852261108,856.8479985444372,1012.4666268027198,1121.2533374835523,1196.123841795565,1107.7517758010445,950.968448996179,934.5450350333764,1129.2212354648973,893.8147389523456,933.8549801773061,1340.9812362172438,1091.129287956259,1013.2750748508388,951.7822939440979,1069.7643075284245,1443.4676771976685,1089.1038875541828,1090.0716623592386,1268.6264407058018,955.6203678479366,1213.0531187137028,914.4234994619502,1036.5261553340251,1122.2234083229548,1021.7927733354929,1039.5213572177504,869.543239043311,1015.841160601139,833.1272674735851,1029.6119346226303,1175.8080682003579,1110.5531280066905,1194.3612483435588,1068.335615635424,1087.6807709678383,956.4379353058988,1293.3045947619985,938.3903682902228,1306.614315445583,1002.4572649291571,1176.1709675903437,1067.0645263621207,1008.9226503289084,1090.395948690054,1073.4061254238857,1063.9692191203592,1030.0096132990343,1186.846950459206,1171.0573613436873,935.9164958240815,1163.9153801889024,1036.2247793293895,807.3147610292768,1105.0603878748357,924.376226148873,1200.5602062676721,1046.1340051348907,833.9723688968436,1113.4489483012258,1191.3369401333262,1075.4289368373047,1336.8146713947378,993.5778869696053,1132.7352138793135,1081.353558468219,1006.6803799567099,1042.1487375721804,833.919538713507,1045.6914644270892,976.7313428099591,1153.35630033832,1100.6428428422184,1232.6423457200383,1294.5944788386528,1115.9822040646097,1209.874647164158
1426.9995184185873,1345.9657925211936,978.2365518863729,1045.9772749548831,1074.6715667530589,1285.6088793646784,938.3003645694236,945.6236783849816,1015.1021021600202,1032.1248418972702,1188.1349655647252,955.0270879527673,1213.1421243796856,885.9537405010462,1174.0368831493763,1193.5338825600943,1452.242113715566,831.9360730984102,1283.6033361151026,1103.1002478756957,1332.4807180810299,1229.6332550615416,967.8117486249857,867.202321909982,912.4172016688278,1180.1727419984538,1274.217424276721,1286.0284261810848,1267.173320663615,1088.8151128158881,1036.4416129793847,1231.5909908636647,963.1056709291638,959.4878196138219,1494.2097767073083,1205.8258230604783,1337.07529449779,1004.7025035618693,1017.4688444697003,1480.4835049886167,1048.5704877894177,1116.320190076452,1294.7385266193469,1059.7147555271367,1274.2459139837638,1097.7224853470939,1068.2436558036225,1184.043501229789,1083.2668833139717,1130.250223748657,1033.8501446408789,1119.3265115061645,997.1834946880865,1126.8796140861734,1310.0796418002592,1218.4390151022449,1346.9652774642227,1041.4152513125941,1157.4713729301168,1016.8085983822103,1253.8817770015442,1021.764366025012,1384.9440772707921,1017.0389282923776,1181.9378330821798,1164.461040038834,1125.9649213764942,1285.0163957711475,1308.722632838911,1217.376837374746,1205.269474897035,1288.9430710164818,1322.8959751588823,1081.087283033995,1172.634860622978,998.1610577026887,982.9809350827344,1197.9111521781801,1033.3437462824786,1329.5134543363554,1258.1452800493598,915.8256229477687,1226.2986341711344,1178.7400592419683,1187.0086331977632,1387.8975678032753,944.9869740855258,1210.4955961566259,1168.4883447304567,1053.9598125240234,1225.6454594345903,971.507434866797,1210.5902374069651,957.1848061119163,1223.0052481918428,1163.0991962585967,1310.1515589593791,1305.7213959792339,1231.0103057716199,1337.4007131308438
1513.5401849068828,1334.6946184190613,1057.5862581777978,1227.7641529192877,1116.2543544459786,1330.3238394069133,1129.6390941425675,1005.0298590675284,1080.9688538377222,1211.0764228769365,1433.2590961176784,1022.3577624003084,1395.1717397853067,1063.273356156133,1239.9658273370462,1408.6712350435719,1576.0780193465405,940.7209990942408,1408.745978983023,1150.5323455184462,1409.2167443206313,1298.7929022272983,1064.2641520894551,973.3726968126676,977.1536858791225,1261.6649673135767,1458.780772653551,1501.2997816802172,1414.7491479404628,1169.883058660331,1203.3884188009927,1349.6677607267056,1174.6002715765846,1164.981135044983,1637.7938972468355,1317.1011230746824,1308.589165029779,1091.2822053043133,1237.3293763470353,1558.3613728328987,1179.4993834602337,1248.3266454082338,1507.9415160530057,1123.4518624583898,1397.6351479052764,1316.0735970926955,1274.984122708611,1334.3854359168006,1186.6271894015924,1297.4907173226177,1118.9927522790958,1252.5742208654199,1034.3789384814606,1290.3923875305422,1330.6941533795355,1436.0164999905414,1339.1734301304095,1203.2824548567407,1299.9812393067741,1049.8116036047486,1342.4949174363257,1129.0394704340283,1454.080704029845,1123.3922043526404,1348.2937514608775,1276.461984769801,1224.5755648608476,1385.7330292107097,1333.3746497432298,1261.7736614441953,1313.3524621692702,1383.631602059032,1407.086386162105,1167.9644580108186,1330.5533513204996,1191.0855278490424,1034.0585189797978,1262.6315037157174,1190.6032915523929,1452.4039242712365,1310.7631047094494,1001.195333350386,1304.0184421849017,1317.5876929841493,1337.761180997555,1433.294589208347,1220.7463352958794,1183.8431038186575,1268.7133298455765,1230.1704668668053,1330.1022435769075,1123.5478355081286,1340.8020704934734,1180.4191220856899,1425.8554656428335,1404.8576020336811,1362.3786952401363,1587.4010416840629,1344.0341097195483,1526.840753297426
1693.8713559576174,1537.4166215836517,1181.8607822814947,1361.137601062429,1299.9558350790396,1581.516611997886,1113.8727011992532,1170.645851860983,1063.288288962948,1263.1167268901136,1548.8525459310129,1116.3798328522453,1540.2923384203561,1216.6580940254776,1337.5220932459783,1384.3785767585646,1674.7410319782605,1150.169308002641,1543.681115483388,1233.2862416625653,1451.620320336005,1357.9785267869502,1122.5938047055192,1051.9200158306658,1112.282689126079,1282.8525273778853,1422.9190992915092,1596.0713773098673,1496.6864571564868,1313.4425650056835,1272.823496839238,1468.3341110241934,1295.5373055659484,1173.4803719435236,1624.2317014911353,1257.4547922624615,1475.0979693368427,1130.6088490480897,1345.4483563698743,1676.9849159595638,1424.6515213431924,1348.0954912574732,1586.7648351401406,1188.751342200104,1607.2585824321648,1442.3605776218014,1351.2200415099876,1456.1863783539388,1374.5599732353107,1448.0984382278862,1164.6344420024734,1208.3171472140898,1211.7039527988966,1321.5020084061591,1442.85815418071,1549.8428397217074,1517.5130322789985,1306.8161991010054,1406.484221813166,1270.3844074669041,1413.586869958002,1212.1867517990365,1620.576180379952,1290.815506529314,1435.4226297049286,1424.3781232837114,1245.04912757213,1448.063177200538,1479.9630892006435,1397.1407747670235,1391.7508592915597,1534.529753432351,1454.0540446014286,1333.1503713629709,1442.8196052021428,1191.4759658125818,1151.7950502640826,1259.3564110963682,1258.0132018085856,1598.242869884326,1502.7398143509593,1256.1747711789585,1382.0153058862284,1316.9014316457408,1496.1354296361603,1426.2045798248384,1400.2860720545848,1419.6648239041265,1367.1092694871281,1180.3358883853418,1464.2979053685551,1140.3001516702748,1444.8038521051935,1158.9260764021724,1526.7071968816902,1354.4574514453795,1545.6726703234108,1682.396538036222,1388.464954359765,1558.5253497783226
1727.524068795494,1564.5819835898506,1110.5045303383476,1213.0929629039179,1303.372551797872,1523.2372285167169,1204.189003335407,1186.0659122581887,1235.366813472319,1212.155698354361,1571.0482956860164,1139.5605481685498,1562.638687786917,1152.5880403227561,1317.0435550523034,1368.7337769806788,1728.068567563992,1175.8721437270985,1502.107897257772,1369.1089794888596,1527.8018411764422,1446.8192566005096,1195.8825963274478,1086.9505953752373,1280.372990448321,1334.9675187663129,1448.221247173935,1609.3544870586788,1563.5139391181392,1369.2723849193835,1341.8642130142907,1450.5428762095858,1363.5248184170616,1301.271223411473,1743.8769828509564,1472.692960597516,1379.6324824833434,1185.6934958621289,1386.3430047672894,1696.6653705912993,1384.8604026089565,1394.0022781272694,1612.9384257147328,1203.0356843176241,1614.1809803209767,1425.152414871584,1331.5799724992735,1442.5786754047795,1333.4827064386568,1317.9887500790264,1182.0124163994037,1247.5365437236042,1212.8106996392567,1354.6202359823872,1438.6094484731398,1548.9593323972829,1526.6847158475189,1317.919552956475,1462.4183624092789,1309.8321582825597,1569.78110501088,1264.5212615821076,1661.315703330632,1276.1421212309483,1467.8737638899681,1415.45227845479,1354.2183642393902,1513.523750770661,1468.2267009221723,1396.0713135338308,1367.6936475530265,1523.7671873204367,1491.0541195964493,1293.874358333794,1472.548625100923,1335.2402480723586,1101.1141272266807,1465.5637153690811,1328.0405039817174,1517.9163173160875,1591.677894558808,1190.4041476294076,1532.3380634343634,1327.7093627154225,1569.1999065810583,1511.4295711568927,1250.3600843010215,1366.2181669744955,1468.9527793047293,1206.1230373190413,1382.7968753133257,1353.886163170939,1398.8332054709665,1216.9877742158455,1562.8251421903183,1575.6088260363147,1542.898868073135,1650.8426576879594,1493.4329868780803,1505.5062136359497
1706.8504607759392,1562.666882647701,1221.8808418278757,1437.835784659332,1391.0298753644963,1662.0376388823647,1108.6670088453218,1198.4809998223384,1188.9121273141304,1195.9826729850074,1591.9795230939,1127.91772549751,1433.7982910909423,1337.2854098219402,1511.2138270071682,1576.1829452443496,1750.5881088670108,1091.7217382435197,1544.6513831557625,1292.085935015241,1617.0052599768073,1283.387330010933,1249.1521913174422,1167.2781566028702,1207.9621962673707,1423.3707103766694,1588.0949899680577,1531.5768944884342,1651.9326280608095,1315.098703028558,1314.7408712098522,1585.3031129030933,1202.2586085246453,1308.8765815694912,1770.509090200122,1406.2019034974576,1487.2299891582174,1243.2916008669226,1274.0874576859953,1705.6286834987077,1397.4049089149296,1305.1388748548177,1594.1666511575886,1216.2702619629267,1457.5842811932607,1368.8431640277895,1414.6075125321593,1412.388452916449,1349.3798776784663,1421.1553361168303,1176.5824153254894,1254.3776643091787,1219.8240401959408,1451.1454266053236,1484.927358652551,1357.3740316249612,1460.9422061304945,1313.6527208573266,1421.743750633778,1348.1287635562676,1497.687996941813,1158.2283474425321,1618.3221644107139,1307.6360402443486,1452.2010452949623,1392.138627537993,1368.6994267750767,1598.0866096171258,1371.3115089238033,1485.5834721832416,1417.5578994372759,1513.9976094247602,1608.1844126917429,1385.0607932332355,1477.804449018154,1228.133388500716,1090.52433105048,1425.0127715674896,1338.2929104263837,1584.64651775893,1454.8000352941717,1204.777158436941,1451.1864937507812,1431.827706227175,1517.4760296501445,1522.2848556123593,1259.844728962995,1467.4339143095044,1427.0777091248463,1372.792912406727,1451.9252097928893,1266.6254747651838,1373.4911193473754,1258.091247967047,1528.726400728803,1450.4459358135546,1614.7919459784096,1678.1376102980512,1515.4134252218046,1710.4088611356883
1754.0867756023317,1604.4045328159275,1312.186235399577,1300.3883065208047,1169.312097677847,1562.3659185019708,1245.6897942179144,1150.4065589337577,1139.242054586272,1165.327808286474,1511.9692919628862,1111.252827122709,1557.5915012326316,1191.181732169842,1371.19139482176,1482.035585973724,1790.1115974881664,997.7184532064229,1531.3438161915044,1348.2860514886506,1460.0572104603489,1322.7817457878698,1192.0629869437428,1227.064185519596,1308.774867763545,1440.6707951399735,1544.6213564181203,1582.1847787048805,1451.6359510733037,1304.7687392958742,1281.9679453300605,1606.7832849434205,1219.0166366328544,1244.012634331943,1747.7615269847809,1478.2819249955685,1312.3994601162087,1232.402740256571,1332.2609414156918,1599.87669636292,1311.4008728819174,1408.966394545743,1563.9613843378384,1228.598035921524,1500.4952339407148,1331.2218000075816,1281.6839897747407,1397.8229029643594,1364.95676517085,1380.034412893496,1247.2399833146778,1332.5949421306955,1161.6952510896267,1415.2639445579462,1485.04635213307,1396.934578848655,1563.6413336320668,1374.4689248364411,1390.1752168612436,1360.1863353963336,1556.4784262064281,1243.4643533516037,1580.6425860761155,1328.8452655725848,1473.9282329059852,1485.0017924839108,1339.475503059687,1572.6259279426301,1484.4457663356231,1479.8571457752344,1404.750866961807,1512.4531611895989,1545.772028706333,1312.1349133577562,1370.765836813039,1301.569554878211,1149.4231775897995,1415.2020339384298,1284.5174934419092,1631.6241236217597,1398.873984955627,1138.6783814905862,1365.389765590203,1398.0903817676178,1562.7778013818952,1585.887913728336,1211.6746435298116,1464.5281283868449,1350.98220017435,1285.2123005876413,1453.26054869594,1321.60051659615,1358.609624240538,1254.796698210898,1483.0929027937455,1429.2496473224496,1484.3034933835345,1694.2068935637465,1587.269176215303,1509.8811045429281
