timestamp,mc_mean,mc_95_percentile,actual_demand_2026
2026-01-01 00:00:00,1030.737157325273,1233.896073204919,1065.8400000000001
2026-01-01 01:00:00,1043.7138912274772,1281.2278946912543,1100.2375
2026-01-01 02:00:00,1044.2476574855982,1233.14977051865,1075.6425
2026-01-01 03:00:00,1078.7331641680173,1288.6747111765021,1077.965
2026-01-01 04:00:00,1183.3874133685051,1380.2734180069472,1079.475
2026-01-01 05:00:00,1311.8370599894752,1547.0582152148643,1036.7975000000001
2026-01-01 06:00:00,1388.5350559877413,1649.5156181670795,1067.475
2026-01-01 07:00:00,1431.2080809825172,1693.4212278905486,1141.9775
2026-01-01 08:00:00,1435.4446435484422,1711.677919355684,1170.7
2026-01-01 09:00:00,1428.258771448469,1682.8086270790423,1134.0175
2026-01-01 10:00:00,1410.6531086373175,1707.6005909286653,1139.005
2026-01-01 11:00:00,1424.1970600937234,1699.4821705794875,1152.215
2026-01-01 12:00:00,1404.4126897078904,1644.175530239042,1180.755
2026-01-01 13:00:00,1406.3808045368764,1664.8745046542538,1215.1975
2026-01-01 14:00:00,1418.0413720542958,1674.0515959520064,1212.2675
2026-01-01 15:00:00,1437.7445287065536,1665.8370980350853,1205.955
2026-01-01 16:00:00,1425.500375886163,1697.1914912610748,1235.4175
2026-01-01 17:00:00,1383.3983926004812,1633.7787700685408,1224.845
2026-01-01 18:00:00,1357.2586205050507,1600.969831561765,1217.5225
2026-01-01 19:00:00,1310.7257159975854,1539.4658109667998,1249.42
2026-01-01 20:00:00,1235.5340714284198,1467.4494260100314,1136.72
2026-01-01 21:00:00,1172.767419069195,1396.0225826712458,1060.4724999999999
2026-01-01 22:00:00,1113.8330672279874,1397.153870414315,1083.055
2026-01-01 23:00:00,1077.9553042221094,1298.3281796156778,1107.235
2026-01-02 00:00:00,1064.4426683042996,1290.9536705043367,1081.4299999999998
2026-01-02 01:00:00,1055.8752841059709,1310.7914102990667,1072.4625
2026-01-02 02:00:00,1053.358217278466,1283.473463200275,1077.9
2026-01-02 03:00:00,1077.7443246424925,1302.72749005351,1151.1275
2026-01-02 04:00:00,1167.712813573761,1392.2075960050065,1094.5125
2026-01-02 05:00:00,1271.1466998677486,1463.1109954552176,1154.665
2026-01-02 06:00:00,1351.5766163475027,1571.1352767034589,1267.9524999999999
2026-01-02 07:00:00,1380.8220862002065,1593.9885167893742,1289.205
2026-01-02 08:00:00,1391.208003296123,1597.4115676247386,1289.29
2026-01-02 09:00:00,1375.0865697986167,1597.3595340311795,1276.2150000000001
2026-01-02 10:00:00,1367.1650389112733,1582.2575057666272,1261.9325
2026-01-02 11:00:00,1367.7014849704449,1587.564501396554,1246.8274999999999
2026-01-02 12:00:00,1344.9878377888128,1529.944278421737,1225.435
2026-01-02 13:00:00,1353.9868041370128,1512.2942171009167,1238.78
2026-01-02 14:00:00,1370.9335240532403,1573.3933904456835,1315.9724999999999
2026-01-02 15:00:00,1390.580436864552,1570.239034656513,1286.1775
2026-01-02 16:00:00,1379.56756898436,1551.3196680838969,1279.6925
2026-01-02 17:00:00,1338.400640394104,1533.0318350463701,1251.6125
2026-01-02 18:00:00,1307.1084852887716,1501.4782326167422,1182.295
2026-01-02 19:00:00,1233.454957014425,1417.8634935478499,1165.3025
2026-01-02 20:00:00,1185.296839899144,1400.220701430566,1136.93
2026-01-02 21:00:00,1106.9566178357627,1275.2482367431198,1077.265
2026-01-02 22:00:00,1051.1624873809715,1228.1122078532128,1082.5925
2026-01-02 23:00:00,1024.0340541065102,1202.6741034278766,1023.345
2026-01-03 00:00:00,930.7251567256212,1121.862829392066,1029.415
2026-01-03 01:00:00,926.5698056963103,1106.754634610011,1088.995
2026-01-03 02:00:00,926.8600520611938,1129.1445433053352,1092.375
2026-01-03 03:00:00,952.5040997338074,1124.3220796212072,1038.315
2026-01-03 04:00:00,1040.771712479858,1203.1283352298183,1016.505
2026-01-03 05:00:00,1148.3473792212849,1322.6065927345073,1032.865
2026-01-03 06:00:00,1231.4825711330238,1384.0474214485546,1055.68
2026-01-03 07:00:00,1264.6448142590511,1446.927837437383,1136.93
2026-01-03 08:00:00,1266.575495127974,1453.9091617316271,1145.615
2026-01-03 09:00:00,1251.2658909293673,1420.718815758595,1186.4975
2026-01-03 10:00:00,1237.1963585560538,1401.354676434637,1184.0675
