Event,Infrastructure,Available,Unavailable,Event Start,Event Stop,Duration,Fuel Type,Assets,Published,Remarks,Revision,Status,Cancellation Reason,text,event_family,unavail_sum,event_date,score,short_label
"Other market information, Market Information","EE,LV,LT,PL,SE4,FI",,,2025-02-09 13:05:00,,"1 year,1 month,24 days,22 hours,58 minutes",,,2025-02-09 13:07:14,Baltic state power systems started synchronous operation with continental Europe synchronous area on 2025-02-09 at 13:05 CET.,1,Active,,"EE,LV,LT,PL,SE4,FI |  | Baltic state power systems started synchronous operation with continental Europe synchronous area on 2025-02-09 at 13:05 CET.",market_info,0.0,2025-02-09,160.0,Baltic sync start
"Other market information, Market Information",,,,2025-03-19 00:00:00,,"1 year,15 days,12 hours,3 minutes",,Klaipeda-Nybro (NordBalt),2025-09-24 09:31:56,The ramping limit for Nordbalt (SE4-LT interconnector) was adjusted for the transition from 60 min Market Time Unit (MTU) to 15 min MTU in the Energy Market SDAC and SIDC. The ramping limitation was changed from 600 MW between MTUs to 300 MW between MTUs. The change of ramping was adjusted from trading day 18th of March 2025 for the delivery day 19th of March 2025.,1,Active,, | Klaipeda-Nybro (NordBalt) | The ramping limit for Nordbalt (SE4-LT interconnector) was adjusted for the transition from 60 min Market Time Unit (MTU) to 15 min MTU in the Energy Market SDAC and SIDC. The ramping limitation was changed from 600 MW between MTUs to 300 MW between MTUs. The change of ramping was adjusted from trading day 18th of March 2025 for the delivery day 19th of March 2025.,market_info,0.0,2025-03-19,160.0,Nordbalt ramping
"Unavailability of electricity facilities, Production",LT | Lithuanian PP | G-7,0,300,2025-08-11 07:00:00,2026-06-07 23:59:00,"9 months,27 days,16 hours,59 minutes",Fossil Gas,,2025-12-03 15:18:48,Updated maintenance time.,8,Active,,LT | Lithuanian PP | G-7 |  | Updated maintenance time.,production,300.0,2025-08-11,560.0,Lithuanian PP G-7
"Unavailability of electricity facilities, Production",LT | Kruonis PSPP | HA-2G,0,225,2025-12-16 11:30:00,2026-08-31 19:00:00,"8 months,15 days,7 hours,30 minutes",Hydro Pumped Storage,,2026-02-17 11:29:30,Updated event stop time.,6,Dismissed,"changed the unavailability type for more accurate information, new unavailability https://umm.nordpoolgroup.com/#/messages/f7789d99-6e6d-4bbe-bdd8-6a622cf20db2/1",LT | Kruonis PSPP | HA-2G |  | Updated event stop time.,production,225.0,2025-12-16,405.0,Kruonis PSPP
